qdate,price1,price2,price3,price4,price5
19600129,95.437,91.107,86.836,82.952,79.215
19600229,95.544,91.555,86.960,83.127,79.515
19600331,96.452,92.768,89.164,85.245,81.687
19600429,95.949,92.212,88.168,83.933,80.967
19600531,96.049,91.997,88.318,84.236,80.276
19600630,96.881,92.878,89.372,85.376,81.952
19600729,97.188,93.977,91.082,86.934,84.257
19600831,97.144,94.244,90.651,86.848,83.892
19600930,97.201,94.739,90.477,86.577,83.969
19601031,97.212,94.058,90.273,86.462,83.715
19601130,97.034,93.821,90.006,85.745,83.188
19601230,97.407,94.583,91.085,87.453,84.209
19610131,97.255,93.925,90.397,86.615,83.387
19610228,97.069,93.984,90.545,87.072,83.987
19610330,97.145,94.354,90.974,87.704,84.173
19610428,97.154,94.062,90.792,88.249,84.578
19610531,97.113,93.781,90.265,87.831,83.779
19610630,97.055,93.710,89.989,86.485,83.403
19610731,97.151,93.886,89.679,86.484,83.378
19610831,96.998,93.710,89.678,85.879,83.261
19610929,97.074,93.981,89.699,86.437,83.569
19611031,97.105,93.864,90.025,86.914,83.178
19611130,97.074,93.612,89.704,86.836,82.768
19611229,96.922,93.438,89.453,86.124,82.476
19620131,96.761,93.245,89.231,85.631,82.051
19620228,96.914,93.714,90.117,86.612,83.080
19620330,97.162,93.887,90.498,86.881,83.593
19620430,97.039,93.651,90.389,86.672,83.513
19620531,97.100,93.880,90.534,86.856,83.613
19620629,96.984,93.451,90.068,86.536,83.293
19620731,96.746,93.351,89.910,86.442,83.008
19620831,97.020,93.859,90.443,87.041,83.779
19620928,97.065,94.010,90.495,87.037,83.242
19621031,97.120,94.007,90.547,87.265,83.454
19621130,97.128,93.796,90.371,87.179,83.792
19621231,97.066,93.784,90.349,87.252,83.990
19630131,97.016,94.065,90.301,87.048,83.509
19630228,97.082,93.981,90.294,86.952,83.299
19630329,96.994,93.835,90.210,86.518,83.212
19630430,96.941,93.647,89.974,86.461,83.178
19630531,96.916,93.666,89.889,86.284,82.942
19630628,96.898,93.628,89.911,86.170,82.800
19630731,96.564,93.017,89.602,85.877,82.516
19630830,96.361,92.942,89.549,85.741,82.356
19630930,96.360,92.924,89.526,85.709,82.187
19631031,96.400,92.760,89.357,85.447,81.945
19631129,96.259,92.658,89.245,85.537,82.077
19631231,96.233,92.472,88.892,85.198,81.838
19640131,96.292,92.500,88.846,85.400,81.921
19640228,96.140,92.336,88.616,85.160,81.761
19640331,96.165,92.171,88.360,84.731,81.594
19640430,96.288,92.362,88.586,84.925,81.550
19640528,96.240,92.433,88.759,85.105,81.940
19640630,96.291,92.721,88.976,85.318,81.957
19640731,96.321,92.953,89.043,85.306,81.840
19640831,96.259,92.804,88.953,85.245,81.792
19640930,96.178,92.687,88.864,85.221,81.901
19641030,96.179,92.557,88.753,85.201,81.833
19641130,95.873,92.260,88.442,84.938,81.598
19641231,96.031,92.445,88.777,85.207,81.555
19650129,95.983,92.426,88.831,85.274,81.535
19650226,95.861,92.228,88.672,85.179,81.360
19650331,95.944,92.263,88.637,85.221,81.451
19650430,95.996,92.286,88.578,85.141,81.388
19650528,95.972,92.225,88.558,85.138,81.363
19650630,96.102,92.438,88.690,85.146,81.482
19650730,96.072,92.302,88.544,84.813,81.361
19650831,95.914,92.152,88.306,84.663,81.237
19650930,95.747,91.869,87.983,84.297,80.855
19651029,95.718,91.820,87.914,84.024,80.553
19651130,95.661,91.777,87.639,83.765,80.262
19651231,95.244,90.856,86.344,82.264,78.770
19660131,95.199,90.804,86.315,82.185,78.570
19660228,95.142,90.653,86.202,81.893,78.079
19660331,95.189,90.993,86.767,82.588,78.941
19660429,95.145,90.764,86.415,82.376,78.654
19660531,95.037,90.464,86.122,81.892,78.355
19660630,95.022,90.354,85.748,81.494,77.841
19660729,94.862,90.102,85.495,81.105,77.161
19660831,94.241,88.975,84.129,79.283,75.720
19660930,94.192,89.765,85.064,80.827,77.297
19661031,94.459,89.958,85.457,81.189,77.440
19661130,94.708,89.845,85.225,80.860,77.112
19661230,95.124,90.841,86.368,82.732,79.100
19670131,95.493,91.394,87.200,83.116,79.637
19670228,95.435,91.137,86.773,82.813,79.096
19670331,95.955,92.100,88.059,84.085,80.383
19670428,96.018,91.660,87.333,83.123,79.311
19670531,96.106,91.731,87.340,83.233,79.118
19670630,95.078,90.615,85.929,81.292,76.879
19670731,95.018,90.707,86.183,81.952,77.780
19670831,94.877,90.229,85.514,81.271,77.135
19670929,94.755,90.115,85.327,80.905,77.027
19671031,94.617,89.464,84.712,80.186,75.697
19671130,94.345,89.477,84.540,80.059,75.541
19671229,94.184,89.182,84.221,79.609,75.596
19680131,94.662,89.919,85.048,80.446,76.348
19680229,94.621,89.834,84.618,80.222,76.385
19680329,94.488,89.549,84.294,79.539,75.783
19680430,94.261,89.369,83.892,79.095,75.249
19680531,94.154,89.103,84.101,79.251,75.427
19680628,94.240,89.506,84.631,80.091,76.415
19680731,94.748,89.906,85.820,81.465,77.524
19680830,94.793,90.235,85.757,81.489,77.207
19680930,94.768,89.882,85.566,81.436,77.172
19681031,94.530,89.695,85.371,81.139,76.641
19681129,94.365,89.464,85.096,80.659,75.981
19681231,93.719,88.171,83.388,77.868,72.861
19690131,94.102,88.476,83.555,79.219,73.855
19690228,93.582,88.200,82.620,78.119,73.012
19690328,93.667,88.656,83.113,78.262,73.054
19690430,94.008,88.563,83.273,78.810,73.323
19690529,93.725,87.887,82.221,77.462,72.111
19690630,92.909,86.917,80.988,76.198,71.019
19690731,92.925,86.507,80.769,76.041,71.250
19690829,92.609,86.407,80.560,75.489,70.606
19690930,92.497,85.533,79.210,73.127,67.486
19691031,92.915,86.583,80.571,74.880,70.041
19691128,92.380,86.107,79.769,74.133,68.989
19691231,92.289,85.023,78.311,72.049,67.126
19700130,92.332,85.221,78.489,72.344,66.798
19700227,93.333,86.870,80.967,75.074,69.950
19700331,93.607,87.098,81.405,75.202,70.288
19700430,92.786,85.959,79.285,73.154,67.907
19700529,92.854,85.608,79.562,73.532,68.355
19700630,93.065,86.141,79.695,73.733,68.585
19700731,93.438,86.603,80.284,74.127,69.171
19700831,93.430,86.905,80.589,74.501,69.608
19700930,93.623,87.720,81.502,75.645,70.295
19701030,93.892,87.768,81.762,76.014,70.894
19701130,95.032,89.911,84.440,79.230,74.463
19701231,95.235,89.778,84.105,79.254,74.375
19710129,95.759,91.097,85.431,79.895,75.362
19710226,96.269,91.765,86.464,81.343,76.691
19710331,96.314,92.046,87.357,82.473,77.952
19710430,95.565,90.084,84.258,79.297,74.165
19710528,95.177,89.691,83.864,79.139,73.305
19710630,94.108,88.228,81.876,76.755,71.223
19710730,94.041,88.112,81.694,76.086,70.836
19710831,94.856,89.670,84.264,79.315,73.983
19710930,94.869,89.786,84.403,79.389,74.202
19711029,95.482,90.524,85.506,80.450,75.342
19711130,95.359,90.368,85.348,80.283,75.103
19711231,95.918,90.788,85.862,81.208,76.219
19720131,95.949,90.832,85.215,80.329,75.120
19720229,95.803,90.909,85.447,80.465,75.336
19720330,95.185,89.554,84.078,79.044,74.074
19720428,95.567,90.263,84.703,79.767,74.824
19720531,95.478,90.586,85.114,80.095,75.148
19720630,94.901,89.731,84.287,79.121,74.423
19720731,95.174,90.043,84.376,79.112,74.514
19720831,94.666,89.364,83.835,78.295,73.779
19720929,94.527,89.057,83.693,78.620,73.867
19721031,94.614,89.130,83.695,78.416,73.737
19721130,94.750,89.346,84.042,78.618,74.053
19721229,94.597,88.812,83.526,78.437,73.441
19730131,94.041,88.323,82.851,77.490,72.971
19730228,93.796,87.779,82.100,76.755,71.918
19730330,93.322,87.270,81.771,76.672,71.697
19730430,93.519,87.580,81.946,76.951,72.020
19730531,93.291,87.425,82.026,76.961,71.900
19730629,92.741,86.982,81.322,76.431,71.448
19730731,91.736,85.281,79.154,73.123,68.238
19730831,91.995,85.837,80.449,75.181,70.282
19730928,92.587,86.974,81.984,76.804,72.086
19731031,93.126,87.422,81.954,76.564,71.765
