qdate,yield1,yield2,yield3,yield4,yield5
19600129,4.633,4.638,4.692,4.663,4.655
19600229,4.558,4.411,4.657,4.620,4.587
19600331,3.623,3.759,3.830,3.988,4.043
19600429,4.147,4.049,4.194,4.373,4.218
19600531,4.032,4.170,4.141,4.295,4.399
19600630,3.169,3.699,3.752,3.950,3.979
19600729,2.836,3.098,3.108,3.493,3.422
19600831,2.898,2.964,3.275,3.523,3.511
19600930,2.847,2.710,3.336,3.601,3.492
19601031,2.827,3.063,3.411,3.637,3.557
19601130,3.011,3.189,3.513,3.842,3.679
19601230,2.635,2.781,3.110,3.347,3.434
19610131,2.783,3.134,3.365,3.595,3.632
19610228,2.974,3.102,3.311,3.463,3.488
19610330,2.896,2.910,3.147,3.276,3.442
19610428,2.872,3.053,3.211,3.119,3.346
19610531,2.929,3.210,3.420,3.248,3.538
19610630,2.998,3.257,3.513,3.628,3.628
19610731,2.890,3.155,3.628,3.630,3.638
19610831,3.048,3.253,3.628,3.803,3.662
19610929,2.977,3.100,3.617,3.639,3.586
19611031,2.937,3.166,3.503,3.509,3.682
19611130,2.970,3.305,3.618,3.526,3.780
19611229,3.109,3.384,3.705,3.727,3.849
19620131,3.292,3.497,3.802,3.875,3.954
19620228,3.135,3.246,3.472,3.591,3.705
19620330,2.887,3.145,3.322,3.511,3.580
19620430,3.006,3.275,3.365,3.576,3.605
19620531,2.943,3.166,3.321,3.520,3.578
19620629,3.071,3.377,3.481,3.610,3.652
19620731,3.308,3.435,3.545,3.645,3.723
19620831,3.034,3.164,3.345,3.467,3.538
19620928,2.963,3.076,3.320,3.464,3.664
19621031,2.922,3.090,3.313,3.403,3.615
19621130,2.922,3.198,3.372,3.428,3.535
19621231,2.978,3.204,3.380,3.409,3.491
19630131,3.029,3.063,3.398,3.465,3.602
19630228,2.961,3.108,3.400,3.493,3.651
19630329,3.027,3.169,3.425,3.613,3.671
19630430,3.099,3.277,3.521,3.639,3.680
19630531,3.150,3.281,3.550,3.686,3.737
19630628,3.126,3.279,3.535,3.713,3.771
19630731,3.487,3.619,3.663,3.804,3.839
19630830,3.687,3.650,3.673,3.841,3.878
19630930,3.697,3.665,3.685,3.855,3.919
19631031,3.666,3.763,3.748,3.929,3.978
19631129,3.792,3.802,3.786,3.900,3.946
19631231,3.829,3.908,3.925,4.008,4.004
19640131,3.789,3.893,3.939,3.943,3.984
19640228,3.947,3.981,4.025,4.010,4.023
19640331,3.910,4.076,4.125,4.145,4.073
19640430,3.783,3.978,4.047,4.082,4.077
19640528,3.832,3.918,3.964,4.021,3.979
19640630,3.780,3.779,3.894,3.972,3.977
19640731,3.759,3.664,3.868,3.970,4.006
19640831,3.813,3.734,3.902,3.991,4.022
19640930,3.897,3.797,3.939,3.995,3.991
19641030,3.906,3.862,3.973,3.999,4.005
19641130,4.214,4.028,4.094,4.081,4.069
19641231,4.050,3.933,3.975,3.999,4.076
19650129,4.077,3.928,3.940,3.974,4.078
19650226,4.204,4.034,3.997,4.002,4.121
19650331,4.140,4.026,4.024,4.003,4.101
19650430,4.097,4.025,4.039,4.019,4.117
19650528,4.077,4.030,4.036,4.017,4.120
19650630,3.976,3.932,4.004,4.017,4.094
19650730,4.018,3.999,4.048,4.112,4.121
19650831,4.172,4.087,4.145,4.165,4.154
19650930,4.346,4.246,4.264,4.268,4.248
19651029,4.352,4.255,4.282,4.343,4.320
19651130,4.436,4.291,4.398,4.432,4.395
