qdate,yldave1,yldave2,yldave3,yldave4,yldave5,yldave6,yldave7,yldave8,yldave9,yldave10,yldave11,yldave12
19630731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002963
19630830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003020,0.003071
19630930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003028,0.003049,0.003079
19631031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054,0.003074,0.003083,0.000000
19631129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003093,0.003109,0.003122,0.003145,0.003159
19631231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003101,0.003125,0.003143,0.003157,0.003162,0.003189
19640131,0.000000,0.000000,0.000000,0.000000,0.000000,0.003035,0.003047,0.003073,0.003104,0.003118,0.003118,0.003158
19640228,0.000000,0.000000,0.000000,0.000000,0.003113,0.003172,0.003181,0.003191,0.003204,0.003201,0.003254,0.003290
19640331,0.000000,0.000000,0.000000,0.003014,0.003115,0.003133,0.003168,0.003173,0.003178,0.003223,0.003227,0.000000
19640430,0.000000,0.000000,0.002894,0.002935,0.002956,0.003043,0.003077,0.003099,0.003122,0.003135,0.003153,0.000000
19640528,0.000000,0.002839,0.002927,0.002914,0.003000,0.003004,0.003017,0.003091,0.003104,0.003127,0.003171,0.003194
19640630,0.002856,0.002897,0.002909,0.002961,0.002948,0.002991,0.003000,0.003056,0.003087,0.003139,0.003153,0.000000
19640731,0.002714,0.002799,0.002922,0.002939,0.002943,0.002991,0.003012,0.003030,0.003087,0.003092,0.003088,0.003132
19640831,0.002718,0.002913,0.002913,0.002913,0.003012,0.003038,0.003068,0.003116,0.003130,0.003113,0.003153,0.003176
19640930,0.002935,0.002935,0.003003,0.003055,0.003067,0.003141,0.003159,0.003168,0.003173,0.003205,0.003210,0.003246
19641030,0.002854,0.002892,0.002990,0.003046,0.003119,0.003137,0.003142,0.003168,0.003204,0.003214,0.003228,0.003255
19641130,0.002977,0.003147,0.003211,0.003242,0.003346,0.003369,0.003366,0.003420,0.003435,0.003445,0.003460,0.003510
19641231,0.002854,0.003091,0.003177,0.003272,0.003282,0.003261,0.003327,0.003346,0.003352,0.003358,0.003350,0.003373
19650129,0.003235,0.003198,0.003250,0.003290,0.003282,0.003357,0.003358,0.003364,0.003369,0.003349,0.003359,0.003396
19650226,0.003206,0.003313,0.003361,0.003363,0.003407,0.003366,0.003397,0.003408,0.003413,0.003419,0.003465,0.003501
19650331,0.003155,0.003257,0.003259,0.003362,0.003347,0.003400,0.003354,0.003359,0.003378,0.003415,0.003429,0.003448
19650430,0.003214,0.003202,0.003327,0.003324,0.003347,0.003357,0.003319,0.003355,0.003374,0.003388,0.003403,0.003413
19650528,0.003109,0.003271,0.003268,0.003299,0.003321,0.003297,0.003311,0.003338,0.003357,0.003362,0.003386,0.003396
19650630,0.003151,0.003151,0.003220,0.003234,0.003257,0.003197,0.003220,0.003242,0.003261,0.003301,0.003302,0.003312
19650730,0.003138,0.003185,0.003220,0.003256,0.003235,0.003258,0.003267,0.003273,0.003321,0.003327,0.003333,0.003347
19650831,0.003150,0.003228,0.003233,0.003251,0.003308,0.003335,0.003297,0.003398,0.003413,0.003432,0.003451,0.003475
19650930,0.003320,0.003283,0.003370,0.003440,0.003475,0.003568,0.003574,0.003581,0.003587,0.003594,0.003600,0.003620
19651029,0.003206,0.003275,0.003400,0.003469,0.003527,0.003546,0.003557,0.003555,0.003587,0.003594,0.003565,0.003625
19651130,0.003155,0.003368,0.003433,0.003529,0.003565,0.003589,0.003600,0.003628,0.003631,0.003624,0.003653,0.003695
19651231,0.003553,0.003699,0.003800,0.003854,0.003888,0.003978,0.003973,0.003972,0.003967,0.004006,0.004009,0.004071
19660131,0.003701,0.003844,0.003898,0.003910,0.003987,0.003965,0.003973,0.003959,0.003998,0.004006,0.004040,0.004098
19660228,0.003714,0.003908,0.003895,0.003962,0.004022,0.004039,0.003982,0.004016,0.004064,0.004064,0.004183,0.004280
19660331,0.003680,0.003755,0.003826,0.003868,0.003919,0.003939,0.003943,0.003955,0.003985,0.004020,0.004049,0.004106
19660429,0.003833,0.003879,0.003908,0.003920,0.003915,0.003931,0.003947,0.003929,0.004038,0.004059,0.004098,0.004160
19660531,0.003714,0.003853,0.003895,0.003911,0.003949,0.003952,0.003943,0.004060,0.004138,0.004155,0.004199,0.004240
19660630,0.003765,0.003764,0.003779,0.003855,0.003914,0.003931,0.004017,0.004094,0.004151,0.004235,0.004226,0.004253
19660729,0.003787,0.003879,0.003998,0.004057,0.004023,0.004182,0.004199,0.004230,0.004270,0.004284,0.004306,0.004369
19660831,0.003934,0.004134,0.004194,0.004215,0.004475,0.004610,0.004678,0.004776,0.004748,0.004800,0.004865,0.004940
19660930,0.004295,0.004436,0.004515,0.004654,0.004742,0.004780,0.004887,0.004904,0.004969,0.004946,0.004959,0.004998
19661031,0.003977,0.003921,0.004421,0.004494,0.004595,0.004666,0.004721,0.004728,0.004775,0.004694,0.004643,0.004748
19661130,0.003553,0.004198,0.004330,0.004439,0.004466,0.004476,0.004473,0.004518,0.004551,0.004526,0.004541,0.004529
19661230,0.003723,0.003993,0.004078,0.004211,0.004190,0.004194,0.004221,0.004230,0.004239,0.004191,0.004133,0.004178
19670131,0.003709,0.003835,0.003821,0.003850,0.003849,0.003835,0.003838,0.003846,0.003858,0.003856,0.003824,0.003841
19670228,0.003727,0.003832,0.003839,0.003834,0.003876,0.003866,0.003886,0.003894,0.003897,0.003892,0.003896,0.003881
19670331,0.003383,0.003381,0.003386,0.003457,0.003463,0.003447,0.003445,0.003446,0.003430,0.003410,0.003447,0.003448
19670428,0.002876,0.003016,0.003135,0.003179,0.003218,0.003254,0.003268,0.003308,0.003340,0.003319,0.003329,0.003356
19670531,0.002706,0.002795,0.002922,0.002952,0.003098,0.003176,0.003155,0.003277,0.003295,0.003301,0.003306,0.003299
19670630,0.003087,0.003262,0.003331,0.003465,0.003699,0.003715,0.003852,0.004033,0.004195,0.004116,0.004112,0.004222
19670731,0.003172,0.003240,0.003498,0.003529,0.003557,0.003922,0.004021,0.004121,0.004217,0.004164,0.004169,0.004244
19670831,0.003214,0.003513,0.003707,0.003615,0.003932,0.004116,0.004225,0.004286,0.004291,0.004296,0.004310,0.004382
19670929,0.003460,0.003687,0.003720,0.003976,0.004203,0.004273,0.004347,0.004370,0.004432,0.004381,0.004408,0.004463
19671031,0.003455,0.003534,0.003814,0.003979,0.004138,0.004272,0.004412,0.004488,0.004546,0.004531,0.004536,0.004596
19671130,0.003490,0.003772,0.004194,0.004207,0.004431,0.004724,0.004704,0.004724,0.004820,0.004738,0.004763,0.004851
19671229,0.003617,0.004049,0.004241,0.004456,0.004579,0.004711,0.004749,0.004791,0.004908,0.004819,0.004813,0.004950
19680131,0.003921,0.004010,0.004069,0.004181,0.004224,0.004212,0.004347,0.004396,0.004472,0.004451,0.004457,0.004556
19680229,0.003892,0.004095,0.004254,0.004280,0.004397,0.004407,0.004404,0.004453,0.004520,0.004443,0.004497,0.004605
19680329,0.004041,0.004305,0.004318,0.004409,0.004458,0.004464,0.004548,0.004607,0.004675,0.004611,0.004648,0.004744
19680430,0.004571,0.004526,0.004626,0.004684,0.004635,0.004828,0.004744,0.004747,0.004886,0.004809,0.004741,0.004922
19680531,0.004486,0.004666,0.004776,0.004835,0.004925,0.004884,0.004897,0.004971,0.005018,0.004942,0.004994,0.005048
19680628,0.004402,0.004463,0.004494,0.004599,0.004635,0.004607,0.004749,0.004791,0.004878,0.004836,0.004844,0.004914
19680731,0.004380,0.004240,0.004382,0.004404,0.004345,0.004472,0.004495,0.004523,0.004533,0.004482,0.004461,0.004493
19680830,0.004113,0.004321,0.004309,0.004289,0.004398,0.004450,0.004456,0.004509,0.004511,0.004437,0.004457,0.004467
19680930,0.004299,0.004308,0.004296,0.004431,0.004474,0.004506,0.004521,0.004536,0.004528,0.004508,0.004510,0.004475
19681031,0.004507,0.004262,0.004617,0.004662,0.004677,0.004675,0.004686,0.004697,0.004735,0.004711,0.004696,0.004685
